Sample_ID	Read1	Read2
N0h_Masashi	N0h_Masashi_1.fastq.gz	N0h_Masashi_2.fastq.gz
N0h_Svetlana	N0h_Svetlana_1.fastq.gz	N0h_Svetlana_2.fastq.gz
N24h_Masashi	N24h_Masashi_1.fastq.gz	N24h_Masashi_2.fastq.gz
N2p5h_Svetlana	N2p5h_Svetlana_1.fastq.gz	N2p5h_Svetlana_2.fastq.gz
N5h_Masashi	N5h_Masashi_1.fastq.gz	N5h_Masashi_2.fastq.gz
N5h_Svetlana	N5h_Svetlana_1.fastq.gz	N5h_Svetlana_2.fastq.gz
TCM0h_Masashi	TCM0h_Masashi_1.fastq.gz	TCM0h_Masashi_2.fastq.gz
TCM0h_Svetlana	TCM0h_Svetlana_1.fastq.gz	TCM0h_Svetlana_2.fastq.gz
TCM24h_Masashi	TCM24h_Masashi_1.fastq.gz	TCM24h_Masashi_2.fastq.gz
TCM2p5h_Svetlana	TCM2p5h_Svetlana_1.fastq.gz	TCM2p5h_Svetlana_2.fastq.gz
TCM5h_Masashi	TCM5h_Masashi_1.fastq.gz	TCM5h_Masashi_2.fastq.gz
TCM5h_Svetlana	TCM5h_Svetlana_1.fastq.gz	TCM5h_Svetlana_2.fastq.gz
TEM0h_Masashi	TEM0h_Masashi_1.fastq.gz	TEM0h_Masashi_2.fastq.gz
TEM0h_Svetlana	TEM0h_Svetlana_1.fastq.gz	TEM0h_Svetlana_2.fastq.gz
TEM24h_Masashi	TEM24h_Masashi_1.fastq.gz	TEM24h_Masashi_2.fastq.gz
TEM2p5h_Svetlana	TEM2p5h_Svetlana_1.fastq.gz	TEM2p5h_Svetlana_2.fastq.gz
TEM5h_Masashi	TEM5h_Masashi_1.fastq.gz	TEM5h_Masashi_2.fastq.gz
TEM5h_Svetlana	TEM5h_Svetlana_1.fastq.gz	TEM5h_Svetlana_2.fastq.gz
